,idno,author,gender,title,year,supergenre,genre,subgenre,genre-label,genre-subtitle,narration,availability,decade
rd0370,rd0370,Gouraud,male,FillesProfesseur,1876,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0457,rd0457,Sand,female,DamesVertes,1857,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd1023,rd1023,Gaboriau,male,CliqueDoree1,1871,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,1870s
rd1177,rd1177,Ponson,male,ResurrectionRocambole2,1866,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0053,rd0053,Maupassant,male,FortMort,1889,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,1880s
rd0414,rd0414,Malot,male,EnFamille,1893,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0001,rd0001,Aurevilly,male,Amour,1841,narrative,roman,blanche,n.av.,chronicle,n.av.,publicdomain,1840s
rd0630,rd0630,FevalPP,male,HabitsNoirs1,1863,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0605,rd0605,FevalPP,male,CavalierFortune,1868,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0311,rd0311,Aimard,male,BelleRiviere,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0568,rd0568,Balzac,male,Comediens,1845,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0445,rd0445,Sand,female,Nanon,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0382,rd0382,Huysmans,male,SoeursVatard,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0564,rd0564,Balzac,male,ModesteMignon,1844,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0036,rd0036,ErckChat,male,Invasion,1862,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0407,rd0407,Malot,male,Cara,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0346,rd0346,Fleuriot,female,TranquilleTourbillon,1880,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0103,rd0103,Zola,male,Reve,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0455,rd0455,Sand,female,Francia,1871,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd1168,rd1168,Ponson,male,RocambolePrison,1869,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0305,rd0305,Aimard,male,Ourson,1868,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0722,rd0722,Villiers,male,Isis,1862,narrative,novel,fantastique,n.av.,n.av.,n.av.,publicdomain,1860s
rd0640,rd0640,Huysmans,male,ARebours,1884,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1880s
rd0087,rd0087,Verne,male,CapitaineQuinzeAns,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0424,rd0424,Mary,male,RevancheRoger1,1889,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0365,rd0365,Gautier,male,CapitaineFracasse,1863,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0038,rd0038,ErckChat,male,Waterloo,1865,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0148,rd0148,Mirbeau,male,AbbeJules,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd1003,rd1003,Boisgobey,male,DoubleBlanc,1889,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1880s
rd0349,rd0349,Fleuriot,female,BoucheEnCoeur,1882,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0474,rd0474,Sand,female,Compagnon,1840,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0623,rd0623,FevalPP,male,ReineEpees,1852,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1850s
rd0011,rd0011,Ponson,male,FemmeImmortelle,1852,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1850s
rd0366,rd0366,Gautier,male,MlleMaupin,1835,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1830s
rd1009,rd1009,Boisgobey,male,Chat2,1888,narrative,novel,policier,Detektivroman,n.av.,heterodiegetic,publicdomain,1880s
rd0572,rd0572,Balzac,male,CureVillage,1841,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0175,rd0175,Verne,male,SecretStoritz,1898,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0177,rd0177,Verne,male,TribulationsChinois,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0104,rd0104,Zola,male,AbbeMouret,1875,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0648,rd0648,France,male,CrimeSylvestreBonnard,1881,narrative,novel,blanche,n.av.,n.av.,homodiegetic,publicdomain,1880s
rd0174,rd0174,Verne,male,PaysFourrures,1873,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd1173,rd1173,Ponson,male,MiseresLondres2,1868,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0642,rd0642,Hugo,male,Miserables2Cosette,1862,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0720,rd0720,Darien,male,Voleur,1897,narrative,novel,blanche,n.av.,n.av.,n.av.,restricted,1890s
rd0301,rd0301,Aimard,male,BanditsArizona,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd1157,rd1157,Gaboriau,male,VieInfernale2,1870,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1870s
rd0056,rd0056,Maupassant,male,UneVie,1883,narrative,novel,blanche,Bildungsroman,n.av.,heterodiegetic,publicdomain,1880s
rd0035,rd0035,ErckChat,male,HistoirePaysan4,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd1022,rd1022,Gaboriau,male,Argent2,1874,narrative,novel,policier,Kriminalroman,n.av.,heterodiegetic,publicdomain,1870s
rd0724,rd0724,Dumas,male,Fantômes,1849,narrative,roman,fantastique,n.av.,récits,n.av.,publicdomain,1840s
rd1160,rd1160,Ponson,male,Chevaliers,1860,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0479,rd0479,Stolz,female,TresorNanette,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0408,rd0408,Malot,male,Zyte,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0094,rd0094,Zola,male,Debacle,1892,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0133,rd0133,Sue,male,MysteresPeuple04,1850,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd1020,rd1020,Gaboriau,male,Lerouge,1865,narrative,novel,policier,Detektivroman,n.av.,heterodiegetic,publicdomain,1860s
rd0637,rd0637,FevalPP,male,HabitsNoirs6Avaleur,1867,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1860s
rd0102,rd0102,Zola,male,Argent,1891,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0470,rd0470,Sand,female,Indiana,1832,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1830s
rd0631,rd0631,FevalPP,male,HabitsNoirs5Maman,1869,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd1165,rd1165,Ponson,male,DernierMot4,1867,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0057,rd0057,Zola,male,BeteHumaine,1890,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1890s
rd0369,rd0369,Gouraud,male,QuandGrande,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0416,rd0416,Malot,male,ClotildeMartory,1873,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0729,rd0729,Maistre,male,ExpéditionNocturne,1825,narrative,roman,blanche,n.av.,n.av.,autodiegetic,restricted,1820s
rd0634,rd0634,FevalPP,male,JeanDiable1,1862,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1860s
rd0059,rd0059,Zola,male,Nana,1885,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,1880s
rd0093,rd0093,Zola,male,DocteurPascal,1893,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd1158,rd1158,Gaboriau,male,MonsieurLecoq1,1869,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0403,rd0403,Loti,male,FrereYves,1883,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd1175,rd1175,Ponson,male,MiseresLondres4,1868,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0047,rd0047,Loti,male,MonFrereYves,1883,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0046,rd0046,Loti,male,MariageLoti,1882,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0566,rd0566,Balzac,male,UrsuleMirouet,1841,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0561,rd0561,Balzac,male,FausseMaitresse,1842,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0024,rd0024,Daudet,male,Tartarin2,1885,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd1029,rd1029,Gaboriau,male,EsclavesParis2,1867,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0726,rd0726,Gay,female,Ellenore,1844,narrative,roman,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0373,rd0373,Gouraud,male,PetiteMaitresse,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0172,rd0172,Verne,male,MathiasSandorf,1885,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0419,rd0419,Malot,male,Baccara,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd1027,rd1027,Gaboriau,male,Degringolade3,1872,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1870s
rd0178,rd0178,Verne,male,VingtMilleLieues,1871,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0318,rd0318,AimardAuriac,male,AigleNoirDacotahs,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0413,rd0413,Malot,male,FemmeArgent,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0144,rd0144,Mirbeau,male,JardinSupplices,1899,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0171,rd0171,Verne,male,KerabanTetu,1883,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0462,rd0462,Sand,female,ChateauDesertes,1851,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0376,rd0376,Gouraud,male,EnfantsFerme,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0105,rd0105,Zola,male,Terre,1887,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0633,rd0633,FevalPP,male,Bossu,1857,narrative,novel,blanche,cape_et_épée,n.av.,n.av.,publicdomain,1850s
rd0426,rd0426,Mirbeau,male,Marechale,1883,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0372,rd0372,Gouraud,male,LivreMaman,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0083,rd0083,Verne,male,AventureTroisRusses,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0149,rd0149,Verne,male,DeuxAnsVacances,1888,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd1151,rd1151,Gaboriau,male,CordeCou1,1873,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1870s
rd0031,rd0031,ErckChat,male,HistoireHommePeuple,1865,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0460,rd0460,Sand,female,Consuelo2,1842,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0449,rd0449,Sand,female,MaitresSonneurs,1853,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0563,rd0563,Balzac,male,MemoiresJeunesMariees,1841,narrative,novel,blanche,mémoires,n.av.,epistolary,restricted,1840s
rd0009,rd0009,Féval,male,Ténèbre,1860,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1860s
rd0482,rd0482,Stolz,female,SecretLaurent,1878,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0050,rd0050,Loti,male,RomanEnfant,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0418,rd0418,Malot,male,Anie,1891,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0632,rd0632,FevalPP,male,HabitsNoirs3Rue,1868,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1860s
rd0656,rd0656,Ohnet,male,GrandeMarnière,1885,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1880s
rd0459,rd0459,Sand,female,Consuelo3,1842,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd1169,rd1169,Ponson,male,ExploitsRocambole1,1859,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1850s
rd0101,rd0101,Zola,male,PotBouille,1882,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0084,rd0084,Verne,male,BilletLoterie,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0309,rd0309,Aimard,male,GrandChefAucas,1858,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0608,rd0608,FevalPP,male,FanfaronsRoi,1843,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0628,rd0628,FevalPP,male,MysteresLondres3,1843,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1840s
rd1026,rd1026,Gaboriau,male,Degringolade2,1872,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1870s
rd0611,rd0611,FevalPP,male,HabitsNoirs2Coeur,1865,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1860s
rd0021,rd0021,Daudet,male,PortTarascon,1890,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1890s
rd0616,rd0616,FevalPP,male,Louve2,1856,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1850s
rd0168,rd0168,Verne,male,HectorServadac,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0461,rd0461,Sand,female,Consuelo1,1842,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0315,rd0315,AimardAuriac,male,JimIndien,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0412,rd0412,Malot,male,MariageJuliette,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0042,rd0042,Flaubert,male,Sallambo,1862,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0138,rd0138,Sue,male,MysteresPeuple10,1854,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0323,rd0323,Allais,male,AffaireBlaireau,1899,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0030,rd0030,ErckChat,male,HistoireConscrit,1864,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0022,rd0022,Daudet,male,Sapho,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0343,rd0343,Dombre,female,PupilleGenante,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd1166,rd1166,Ponson,male,DernierMot2,1867,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0012,rd0012,Ponson,male,FéeAuteuil,1868,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1860s
rd0096,rd0096,Zola,male,EugeneRougon,1876,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0348,rd0348,Fleuriot,female,Conge,1874,narrative,novel,blanche,n.av.,n.av.,autodiegetic,publicdomain,1870s
rd0141,rd0141,Sue,male,MysteresPeuple13,1856,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0464,rd0464,Sand,female,Valentine,1832,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1830s
rd0136,rd0136,Sue,male,MysteresPeuple08,1853,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0097,rd0097,Zola,male,CapitaineBurle,1883,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0044,rd0044,Loti,male,Figures,1898,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1890s
rd0140,rd0140,Sue,male,MysteresPeuple12,1855,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0052,rd0052,Maupassant,male,BelAmi,1885,narrative,novel,blanche,Gesellschaftsroman,n.av.,heterodiegetic,publicdomain,1880s
rd0440,rd0440,Sand,female,Teverino,1845,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0481,rd0481,Stolz,female,Mesaventures,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0109,rd0109,Gaboriau,male,Cotillons1,1861,narrative,nouvelles,blanche,n.av.,n.av.,n.av.,restricted,1860s
rd0402,rd0402,Loti,male,PecheurIslande,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd1159,rd1159,Gaboriau,male,MonsieurLecoq2,1869,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0316,rd0316,AimardAuriac,male,CoeurPanthere,1879,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0008,rd0008,Dumas,male,Olifus,1849,narrative,roman,fantastique,n.av.,n.av.,n.av.,publicdomain,1840s
rd0569,rd0569,Balzac,male,CousineBette,1846,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0454,rd0454,Sand,female,Horace,1841,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0423,rd0423,Mary,male,RogerLaHonte,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0719,rd0719,Darien,male,BiribiriDiscipline,1890,narrative,novel,blanche,n.av.,n.av.,n.av.,restricted,1890s
rd0039,rd0039,Flaubert,male,BouvardPecuchet,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0127,rd0127,Sue,male,MysteresParis01,1842,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0442,rd0442,Sand,female,Rudolstadt2,1843,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0456,rd0456,Sand,female,ElleLui,1859,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0086,rd0086,Verne,male,CapitaineHatteras,1866,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0045,rd0045,Loti,male,MadameChrysantheme,1887,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0629,rd0629,FevalPP,male,Diable2Proces,1862,narrative,novel,policier,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0485,rd0485,Stolz,female,BlancheNoire,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0645,rd0645,Hugo,male,Miserables5JeanValjean,1862,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,publicdomain,1860s
rd0606,rd0606,FevalPP,male,ChevalierTenebre,1861,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0314,rd0314,Aimard,male,ChercheurPistes,1858,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0134,rd0134,Sue,male,MysteresPeuple06,1851,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0032,rd0032,ErckChat,male,HistoirePaysan1,1869,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0480,rd0480,Stolz,female,MaisonBlanche,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1880s
rd0613,rd0613,FevalPP,male,HistoireRevenants,1881,narrative,novel,policier,n.av.,n.av.,n.av.,publicdomain,1880s
rd0570,rd0570,Balzac,male,CousinPons,1847,narrative,novel,blanche,n.av.,n.av.,heterodiegetic,restricted,1840s
rd0142,rd0142,Sue,male,MysteresPeuple15,1857,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
rd0448,rd0448,Sand,female,MareDiable,1846,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0129,rd0129,Sue,male,MysteresParis04,1843,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0478,rd0478,Stolz,female,PochesOncle,1874,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1870s
rd0088,rd0088,Verne,male,Chancellor,1875,narrative,novel,blanche,journal,n.av.,n.av.,publicdomain,1870s
rd0307,rd0307,Aimard,male,RodeursFrontieres,1861,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0467,rd0467,Sand,female,MaitresMosaistes,1837,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1830s
rd0374,rd0374,Gouraud,male,EnfantGuide,1868,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0379,rd0379,Gouraud,male,PetitColporteur,1867,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0026,rd0026,ErckChat,male,BlocusRochart,1867,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1860s
rd0130,rd0130,Sue,male,MysteresParis05,1843,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1840s
rd0313,rd0313,Aimard,male,LoiLynch,1859,narrative,novel,blanche,n.av.,n.av.,n.av.,publicdomain,1850s
