,idno,author,author-gender,title,year,supergenre,genre,subgenre,subsubgenre,genre-label,genre-subtitle,narration,protagonist-gender,protagonist-policier,setting,availability,tei,status,decade
rf0086,rf0086,Verne,male,CapitaineHatteras,1866,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0318,rf0318,AimardAuriac,male,AigleNoirDacotahs,1878,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0134,rf0134,Sue,male,MysteresPeuple06,1851,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0635,rf0635,FevalPP,male,HabitsNoirs7Compagnons,1872,narrative,novel,policier,criminel,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1870s
rf0101,rf0101,Zola,male,PotBouille,1882,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0469,rf0469,Sand,female,LeoneLeoni,1834,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1830s
rf0621,rf0621,FevalPP,male,Quittance1Heritiere,1846,narrative,novel,blanche,adventure,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1840s
rf0424,rf0424,Mary,male,RevancheRoger1,1889,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0038,rf0038,ErckChat,male,Waterloo,1865,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0420,rf0420,Malot,male,BonneAffaire,1870,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0056,rf0056,Maupassant,male,UneVie,1883,narrative,novel,blanche,blanche,Bildungsroman,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0313,rf0313,Aimard,male,LoiLynch,1859,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0643,rf0643,Hugo,male,Miserables3Marius,1862,narrative,novel,blanche,social,n.av.,n.av.,heterodiegetic,male,n.av.,urban,publicdomain,11,n.av.,1860s
rf0022,rf0022,Daudet,male,Sapho,1884,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0135,rf0135,Sue,male,MysteresPeuple07,1851,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0440,rf0440,Sand,female,Teverino,1845,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf1168,rf1168,Ponson,male,RocambolePrison,1869,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,11,n.av.,1860s
rf0412,rf0412,Malot,male,MariageJuliette,1874,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0142,rf0142,Sue,male,MysteresPeuple15,1857,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0444,rf0444,Sand,female,PecheAntoine,1845,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf0645,rf0645,Hugo,male,Miserables5JeanValjean,1862,narrative,novel,blanche,social,n.av.,n.av.,heterodiegetic,male,n.av.,urban,publicdomain,11,n.av.,1860s
rf0109,rf0109,Gaboriau,male,Cotillons1,1861,narrative,nouvelles,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,restricted,n.av.,n.av.,1860s
rf0042,rf0042,Flaubert,male,Sallambo,1862,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0615,rf0615,FevalPP,male,LoupBlanc,1843,narrative,novel,blanche,adventure,n.av.,n.av.,n.av.,male,n.av.,rural,publicdomain,11,n.av.,1840s
rf0606,rf0606,FevalPP,male,ChevalierTenebre,1861,narrative,novel,blanche,FantastischerRoman,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1860s
rf0310,rf0310,Aimard,male,ChasseurRats2CommDelgres,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0047,rf0047,Loti,male,MonFrereYves,1883,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf0110,rf0110,Gaboriau,male,Cotillons2,1861,narrative,nouvelles,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1860s
rf1006,rf1006,Boisgobey,male,Opera1,1889,narrative,novel,policier,detection,Detektivroman,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1880s
rf0030,rf0030,ErckChat,male,HistoireConscrit,1864,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0380,rf0380,Gouraud,male,MemoiresCaniche,1866,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0043,rf0043,Loti,male,Aziyade,1879,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf1179,rf1179,Ponson,male,TestamentGrainDeSel,1862,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,11,n.av.,1860s
rf0136,rf0136,Sue,male,MysteresPeuple08,1853,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0138,rf0138,Sue,male,MysteresPeuple10,1854,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0099,rf0099,Zola,male,PageAmour,1878,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0481,rf0481,Stolz,female,Mesaventures,1881,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf1184,rf1184,Boisgobey,male,RubisOngle,1886,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,n.av.,n.av.,urban,publicdomain,11,n.av.,1880s
rf0458,rf0458,Sand,female,DernierAmour,1866,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0445,rf0445,Sand,female,Nanon,1872,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0364,rf0364,Gautier,male,RomanMomie,1858,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf1022,rf1022,Gaboriau,male,Argent2,1874,narrative,novel,policier,criminel,Kriminalroman,n.av.,heterodiegetic,n.av.,crminal,n.av.,publicdomain,11,n.av.,1870s
rf1167,rf1167,Ponson,male,DernierMot3,1867,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,n.av.,1860s
rf0644,rf0644,Hugo,male,Miserables4Idylle,1862,narrative,novel,blanche,social,n.av.,n.av.,heterodiegetic,male,n.av.,urban,publicdomain,11,n.av.,1860s
rf1157,rf1157,Gaboriau,male,VieInfernale2,1870,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,n.av.,n.av.,publicdomain,11,n.av.,1870s
rf0130,rf0130,Sue,male,MysteresParis05,1843,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf0484,rf0484,Stolz,female,DessusHaie,1874,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0027,rf0027,ErckChat,male,CampagneKabylie,1873,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0060,rf0060,Zola,male,Oeuvre,1886,narrative,novel,blanche,blanche,Künstlerroman,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0414,rf0414,Malot,male,EnFamille,1893,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf1025,rf1025,Gaboriau,male,Degringolade1,1872,narrative,novel,policier,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0052,rf0052,Maupassant,male,BelAmi,1885,narrative,novel,blanche,blanche,Gesellschaftsroman,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0051,rf0051,Loti,male,RomanSpahi,1881,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0720,rf0720,Darien,male,Voleur,1897,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,restricted,11,n.av.,1890s
rf0035,rf0035,ErckChat,male,HistoirePaysan4,1869,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf1009,rf1009,Boisgobey,male,Chat2,1888,narrative,novel,policier,criminel,Detektivroman,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,12,n.av.,1880s
rf0319,rf0319,AimardAuriac,male,PiedsFourchus,1866,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0371,rf0371,Gouraud,male,QuatrePiecesOr,1874,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf1161,rf1161,Ponson,male,ClubValets1,1858,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,n.av.,1850s
rf0366,rf0366,Gautier,male,MlleMaupin,1835,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1830s
rf0483,rf0483,Stolz,female,FamilleCoquelicot,1892,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf0146,rf0146,Mirbeau,male,Calvaire,1887,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf1178,rf1178,Ponson,male,ResurrectionRocambole3,1866,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,11,n.av.,1860s
rf0622,rf0622,FevalPP,male,Quittance2Galerie,1846,narrative,novel,blanche,adventure,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1840s
rf0405,rf0405,Loti,male,Matelot,1893,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf0417,rf0417,Malot,male,BelleMere,1874,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0312,rf0312,Aimard,male,PiratesPrairies,1858,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0624,rf0624,FevalPP,male,RoiGueux,1859,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,00,n.av.,1850s
rf0482,rf0482,Stolz,female,SecretLaurent,1878,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0452,rf0452,Sand,female,Jeanne,1844,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf0096,rf0096,Zola,male,EugeneRougon,1876,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf1174,rf1174,Ponson,male,MiseresLondres3,1868,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,criminal,urban,publicdomain,12,n.av.,1860s
rf0084,rf0084,Verne,male,BilletLoterie,1886,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf0168,rf0168,Verne,male,HectorServadac,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf1159,rf1159,Gaboriau,male,MonsieurLecoq2,1869,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,detective,urban,publicdomain,12,n.av.,1860s
rf0634,rf0634,FevalPP,male,JeanDiable1,1862,narrative,novel,policier,crime,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,00,n.av.,1860s
rf0607,rf0607,FevalPP,male,ErrantsNuit,1857,narrative,novel,policier,archaique,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1850s
rf0174,rf0174,Verne,male,PaysFourrures,1873,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0609,rf0609,FevalPP,male,FeeGreves,1850,narrative,novel,blanche,fantastic,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1850s
rf0404,rf0404,Loti,male,RomanEnfant,1890,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1890s
rf0026,rf0026,ErckChat,male,BlocusRochart,1867,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0169,rf0169,Verne,male,IleMysterieuse,1875,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0028,rf0028,ErckChat,male,ChefChantier,1876,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0449,rf0449,Sand,female,MaitresSonneurs,1853,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0455,rf0455,Sand,female,Francia,1871,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0627,rf0627,FevalPP,male,MysteresLondres2,1843,narrative,novel,policier,archaique,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,00,n.av.,1840s
rf0137,rf0137,Sue,male,MysteresPeuple09,1853,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1850s
rf0378,rf0378,Gouraud,male,VieuxChateau,1884,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf0415,rf0415,Malot,male,Conscience,1888,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0477,rf0477,Stolz,female,DeuxReines,1881,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf0566,rf0566,Balzac,male,UrsuleMirouet,1841,narrative,novel,blanche,blanche,n.av.,n.av.,heterodiegetic,n.av.,n.av.,n.av.,restricted,1,n.av.,1840s
rf0442,rf0442,Sand,female,Rudolstadt2,1843,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf0464,rf0464,Sand,female,Valentine,1832,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1830s
rf0103,rf0103,Zola,male,Reve,1888,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0018,rf0018,Daudet,male,Nabab,1877,narrative,novel,blanche,social,roman de moeurs,n.av.,heterodiegetic,male,n.av.,n.av.,publicdomain,11,n.av.,1870s
rf0461,rf0461,Sand,female,Consuelo1,1842,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1840s
rf0095,rf0095,Zola,male,FortuneRougon,1870,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0308,rf0308,Aimard,male,ChasseurRats,1877,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0148,rf0148,Mirbeau,male,AbbeJules,1888,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0370,rf0370,Gouraud,male,FillesProfesseur,1876,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0657,rf0657,Ohnet,male,AmePierre,1890,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,urban,publicdomain,11,n.av.,1890s
rf0376,rf0376,Gouraud,male,EnfantsFerme,1869,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0374,rf0374,Gouraud,male,EnfantGuide,1868,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1860s
rf0106,rf0106,Boisgobey,male,BandeRouge1,1886,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf1152,rf1152,Gaboriau,male,CordeCou2,1873,narrative,novel,policier,archaique,n.av.,n.av.,heterodiegetic,male,suspect,rural,publicdomain,12,n.av.,1870s
rf0105,rf0105,Zola,male,Terre,1887,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1880s
rf0350,rf0350,Fleuriot,female,Alberte,1881,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1880s
rf0372,rf0372,Gouraud,male,LivreMaman,1872,narrative,novel,blanche,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,1,n.av.,1870s
rf0083,rf0083,Verne,male,AventureTroisRusses,1872,narrative,novel,blanche,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,n.av.,n.av.,1870s
rf0605,rf0605,FevalPP,male,CavalierFortune,1868,narrative,novel,blanche,Abenteuerroman,n.av.,n.av.,n.av.,n.av.,n.av.,n.av.,publicdomain,11,n.av.,1860s
